id,company_id,bank_id,account,name
14297,7074,1,3389002206419725,"IZAN - COMMERC D O O BU▯I-DRU TVO SA OGRANI ENOM ODGOVORNO U ZA TRGOVINU PREVOZ EXPORT-IMPORT """
14298,7075,6,1990440001852216,J UNION DOO
14299,7076,14,1941071879600133,KIŠMET DOO
14300,7076,17,3060610000367327,KIŠMET DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PREVOZ TRGOVINU I EXPORT IMPORT BUŽIM
14301,7076,1,3385202200394954,KIŠMET D O O BUŽIM-DRU TVO SA OGRANI ENOM ODGOVORNO U ZA PREVOZ I TRGOVINU EXPORT-IMPORT PROIZVO
14302,7077,14,1940033492000145,ŠAHINOVIĆ-TOURS DOO
14303,7078,17,3060620000420628,MS - JAPIĆ DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU CAZ CAZIN
14304,7079,3,1403050004943439,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""ASTRA-E"",SANSKI MOST"
14305,7079,16,1610350009880074,ASTRA E DOO SANSKI MOST
14306,7079,6,1990440001714864,ASTRA E DOO
14307,7079,17,3060630000800140,ASTRA-E DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA UNU TRAŠNJU I VANJSKU TRGOVINU SANSKI MOST
14308,7079,1,3385402228557924,ASTRA-E DOO SANSKI MOST
14309,7080,7,5550050002688031,AUSTROTEL DOO EXPORT-IMPORT
14310,7081,28,1985011010003121,BRAĆA HADŽIPAŠIĆ D.O.O B.KRUPA
14311,7081,1,3385302200055740,"BRA A HADŽIPAŠI D O O BO-DRU TVO SA OGRANI ENOM ODGOVORNO U ZA PROMET I USLUGE EXPORT-IMPORT "" B"
14312,7082,3,1403010007367568,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU "" YEZERKA-MILEX "" ZA PROIZVODNJU I USLUGE BOSANSKA KRUPA"
14313,7082,16,1610350011840056,YEZERKA-MILEX DOO BOSANSKA KRUPA
14314,7082,6,1990450002994148,YEZERKA MILEX D.O.O.
14315,7082,1,3385302200103949,"DRU TVO SA OGRANI ENOM ODGOVORNO U "" YEZERKA-MILEX "" ZA PROIZVODNJU I USLUGE BOSANSKA KRUPA"
14316,7083,16,1610350005990083,HARBAŠ- COMP DOO BOSANSKA KRUPA
14317,7083,1,3385302200056613,"HARBAŠ - COMP D O O BOSAN-DRU TVO SA OGRANI ENOM ODGOVORNO U ZA PROMET I USLUGE "" HARBA - COMP """
14318,7084,3,1403050010885465,AGRO SIEBEN DOO SANSKI MOST
14319,7084,16,1610350012570078,AGRO SIEBEN DOO SANSKI MOST
14320,7084,17,3060610000304471,AGRO SIEBEN DRU▯TVO S OGRANI▯ENOM ODGOVORNO▯▯U SANSKI MOST
14321,7084,1,3385402200016353,"AGRO SIEBEN D O O SANSKI-DRU TVO SA OGRANI ENOM ODGOVORNO U "" AGRO SIEBEN "" SANSKI MOST"
14322,7084,4,5510370003695323,AGRO SIEBEN DOO
14323,7085,16,1610350006910031,DOMOGRAD- PUŠKAR DOO CAZIN
14324,7086,6,1990440001840188,GARO KOMERC DOO
